127.0.0.1,10/Oct/2023:10:00:00,"""GET /index.html",200,1234
192.168.0.1,10/Oct/2023:10:15:00,"""POST /submit.php",404,567
127.0.0.1,10/Oct/2023:10:00:00,"""GET /index.html",200,1234
192.168.0.1,10/Oct/2023:10:15:00,"""POST /submit.php",404,567
10.1.1.10,10/Oct/2023:10:30:00,"""GET /about.html",200,3456
203.0.113.5,10/Oct/2023:10:45:00,"""GET /images/pic.jpg",200,7890
192.168.0.2,10/Oct/2023:11:00:00,"""POST /login",401,432
10.1.1.10,10/Oct/2023:11:15:00,"""GET /contact.html",200,2789
203.0.113.5,10/Oct/2023:11:30:00,"""GET /images/logo.png",200,12345
192.168.0.3,10/Oct/2023:11:45:00,"""POST /submit.php",200,567
10.1.1.11,10/Oct/2023:12:00:00,"""GET /index.html",200,1234
203.0.113.6,10/Oct/2023:12:15:00,"""GET /about.html",200,3456
